ds,y
3/10/2017,471
3/11/2017,382
3/12/2017,424
3/13/2017,620
3/14/2017,618
3/15/2017,663
3/16/2017,649
3/17/2017,480
3/18/2017,345
3/19/2017,509
3/20/2017,746
3/21/2017,685
3/22/2017,611
3/23/2017,698
3/24/2017,540
3/25/2017,326
3/26/2017,371
3/27/2017,622
3/28/2017,603
3/29/2017,649
3/30/2017,604
3/31/2017,452
4/1/2017,309
4/2/2017,621
4/3/2017,559
4/4/2017,588
4/5/2017,527
4/6/2017,514
4/7/2017,423
4/8/2017,301
4/9/2017,311
4/10/2017,437
4/11/2017,483
4/12/2017,450
4/13/2017,412
4/14/2017,333
4/15/2017,229
4/16/2017,301
4/17/2017,485
4/18/2017,597
4/19/2017,613
4/20/2017,547
4/21/2017,461
4/22/2017,295
4/23/2017,330
4/24/2017,518
4/25/2017,578
4/26/2017,543
4/27/2017,504
4/28/2017,415
4/29/2017,242
4/30/2017,280
5/1/2017,467
5/2/2017,477
5/3/2017,617
5/4/2017,510
5/5/2017,403
5/6/2017,259
5/7/2017,309
5/8/2017,431
5/9/2017,498
5/10/2017,514
5/11/2017,462
5/12/2017,442
5/13/2017,271
5/14/2017,328
5/15/2017,494
5/16/2017,548
5/17/2017,543
5/18/2017,545
5/19/2017,511
5/20/2017,302
5/21/2017,468
5/22/2017,536
5/23/2017,504
5/24/2017,476
5/25/2017,540
5/26/2017,357
5/27/2017,232
5/28/2017,235
5/29/2017,367
5/30/2017,459
5/31/2017,459
6/1/2017,427
6/2/2017,355
6/3/2017,228
6/4/2017,275
6/5/2017,888
6/6/2017,1114
6/7/2017,986
6/8/2017,854
6/9/2017,537
6/10/2017,416
6/11/2017,448
6/12/2017,828
6/13/2017,1207
6/14/2017,1356
6/15/2017,1207
6/16/2017,756
6/17/2017,589
6/18/2017,876
6/19/2017,1325
6/20/2017,1354
6/21/2017,1354
6/22/2017,1118
6/23/2017,694
6/24/2017,505
6/25/2017,518
6/26/2017,856
6/27/2017,1017
6/28/2017,852
6/29/2017,871
6/30/2017,560
7/1/2017,381
7/2/2017,539
7/3/2017,746
7/4/2017,806
7/5/2017,857
7/6/2017,835
7/7/2017,612
7/8/2017,446
7/9/2017,504
7/10/2017,786
7/11/2017,872
7/12/2017,786
7/13/2017,661
7/14/2017,514
7/15/2017,386
7/16/2017,442
7/17/2017,577
7/18/2017,659
7/19/2017,576
7/20/2017,527
7/21/2017,432
7/22/2017,276
7/23/2017,310
7/24/2017,595
7/25/2017,500
7/26/2017,524
7/27/2017,474
7/28/2017,438
7/29/2017,247
7/30/2017,336
7/31/2017,487
8/1/2017,486
8/2/2017,527
8/3/2017,524
8/4/2017,444
8/5/2017,267
8/6/2017,318
8/7/2017,513
8/8/2017,595
8/9/2017,597
8/10/2017,586
8/11/2017,384
8/12/2017,354
8/13/2017,467
8/14/2017,813
8/15/2017,870
8/16/2017,802
8/17/2017,764
8/18/2017,589
8/19/2017,392
8/20/2017,431
8/21/2017,660
8/22/2017,683
8/23/2017,760
8/24/2017,668
8/25/2017,501
8/26/2017,389
8/27/2017,462
8/28/2017,750
8/29/2017,726
8/30/2017,730
8/31/2017,642
9/1/2017,436
9/2/2017,334
9/3/2017,457
9/4/2017,555
9/5/2017,697
9/6/2017,630
9/7/2017,654
9/8/2017,614
9/9/2017,386
9/10/2017,451
9/11/2017,642
9/12/2017,656
9/13/2017,682
9/14/2017,658
9/15/2017,553
9/16/2017,360
9/17/2017,463
9/18/2017,664
9/19/2017,712
9/20/2017,651
9/21/2017,647
9/22/2017,532
9/23/2017,331
9/24/2017,366
9/25/2017,632
9/26/2017,594
9/27/2017,557
9/28/2017,610
9/29/2017,448
9/30/2017,313
10/1/2017,340
10/2/2017,499
10/3/2017,589
10/4/2017,714
10/5/2017,557
10/6/2017,773
10/7/2017,315
10/8/2017,391
10/9/2017,550
10/10/2017,510
10/11/2017,596
10/12/2017,570
10/13/2017,411
10/14/2017,323
10/15/2017,348
10/16/2017,578
10/17/2017,535
10/18/2017,522
10/19/2017,484
10/20/2017,377
10/21/2017,286
10/22/2017,397
10/23/2017,543
10/24/2017,560
10/25/2017,622
10/26/2017,497
10/27/2017,447
10/28/2017,283
10/29/2017,383
10/30/2017,523
10/31/2017,485
11/1/2017,508
11/2/2017,541
